layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.67626953125,0.6754671335220337,1.0002338886260986
2,0.6328125,0.6331961154937744,0.9996412992477417
3,0.53076171875,0.5938052535057068,0.9801698923110962
4,0.75390625,0.5371595621109009,0.7686135768890381
5,0.74853515625,0.7509690523147583,0.9988665580749512
6,0.8046875,0.807536244392395,0.9986226558685303
7,0.73486328125,0.7482616901397705,0.9870561957359314
8,0.79443359375,0.7984798550605774,0.99107825756073
9,0.8115234375,0.819259524345398,0.996578574180603
10,0.77197265625,0.7726618051528931,0.9991997480392456
11,0.8759765625,0.8745595216751099,0.9998100996017456
12,0.86474609375,0.8663852214813232,0.9962884187698364
13,0.8642578125,0.8672640323638916,0.9986618757247925
14,0.91796875,0.9194362163543701,0.9956269264221191
15,0.88037109375,0.880732536315918,0.9989228248596191
16,0.86328125,0.8635470271110535,0.999942421913147
17,0.92724609375,0.9269272089004517,0.999884307384491
18,0.89990234375,0.9021403789520264,0.998300313949585
19,0.93359375,0.9324384927749634,0.9981125593185425
20,0.83935546875,0.9059815406799316,0.9792118072509766
21,0.9248046875,0.9295727014541626,0.9989819526672363
22,0.9345703125,0.9345768690109253,0.9983086585998535
23,0.9609375,0.9599640965461731,0.999208390712738
24,0.9619140625,0.9621550440788269,0.9998378157615662
25,0.91162109375,0.9395201206207275,0.9848740696907043
26,0.05133056640625,0.0745638906955719,0.9996160268783569
27,0.7431640625,0.7662621736526489,0.9978592991828918
