gsm8k_num,perplexity
1,9.727110862731934
2,20.484569549560547
3,2.606991767883301
4,10.279141426086426
5,5.886706352233887
6,4.47847843170166
7,4.402766704559326
8,4.256464004516602
9,4.209340572357178
10,3.922703504562378
11,3.0808470249176025
12,3.4191207885742188
13,4.574230194091797
14,5.820228099822998
15,3.279977798461914
16,4.687016487121582
17,4.716238021850586
18,2.774052619934082
19,5.120450973510742
20,3.6321043968200684
21,4.231754779815674
22,5.663143157958984
23,5.1300482749938965
24,8.156593322753906
25,6.451794624328613
26,3.9494729042053223
27,4.860463619232178
28,5.447015762329102
29,6.188941478729248
30,6.220881462097168
31,5.553933143615723
32,4.062855243682861
33,10.144696235656738
34,6.6246418952941895
35,5.0373311042785645
36,5.167242527008057
37,4.608082294464111
38,4.292992115020752
39,5.503275394439697
40,2.9467616081237793
41,6.262519359588623
42,7.370246887207031
43,7.107117652893066
44,3.7642855644226074
45,3.6256322860717773
46,5.707043647766113
47,5.610678195953369
48,3.9288463592529297
49,6.747775077819824
50,3.8076322078704834
51,4.9226908683776855
52,7.553264141082764
53,5.460958003997803
54,4.042471885681152
55,8.781431198120117
56,6.750088691711426
57,7.649744510650635
58,5.2355427742004395
59,5.427956581115723
60,6.220608711242676
61,5.302597999572754
62,5.5781121253967285
63,5.5374250411987305
64,3.935483455657959
65,4.719277381896973
66,6.512087821960449
67,3.8703114986419678
68,4.041910171508789
69,4.482938289642334
70,6.278045177459717
71,4.0873703956604
72,9.610896110534668
73,5.42191219329834
74,4.610820293426514
75,2.8027756214141846
76,3.4122164249420166
77,2.7750403881073
78,4.425176620483398
79,4.322544574737549
80,8.455718040466309
81,3.9636013507843018
82,5.402545928955078
83,8.142502784729004
84,5.496208667755127
85,5.293813705444336
86,5.444821357727051
87,3.5617687702178955
88,4.608090400695801
89,3.9456658363342285
90,10.958601951599121
91,3.827507734298706
92,5.668129920959473
93,5.4608473777771
94,4.238295555114746
95,4.169212818145752
96,3.5716230869293213
97,9.55986499786377
98,6.182037353515625
99,6.369557857513428
100,6.1224164962768555
101,3.3083763122558594
102,6.4195427894592285
103,5.327409267425537
104,5.44533634185791
105,3.5855798721313477
106,8.770820617675781
107,4.3558573722839355
108,3.599550724029541
109,5.939483642578125
110,4.923305511474609
111,5.600804805755615
112,4.497335433959961
113,7.224350929260254
114,9.190187454223633
115,4.77349853515625
116,4.459222316741943
117,8.616142272949219
118,10.778718948364258
119,8.265216827392578
120,3.0090975761413574
121,6.547342300415039
122,6.059891700744629
123,4.217405319213867
124,3.746403217315674
125,7.493417739868164
126,6.543772220611572
127,9.514202117919922
128,6.676063060760498
129,4.280917167663574
130,4.102896213531494
131,4.630272388458252
132,5.8696980476379395
133,4.715535640716553
134,5.370682716369629
135,11.420170783996582
136,8.388731002807617
137,13.857213020324707
138,3.1466116905212402
139,3.808351755142212
140,6.926599502563477
141,4.761864185333252
142,7.338375091552734
143,6.619618892669678
144,6.1601481437683105
145,4.020079135894775
146,5.045378684997559
147,4.938730716705322
148,4.6790242195129395
149,5.681816101074219
150,6.8733229637146
151,3.3832902908325195
152,5.495504856109619
153,5.4631028175354
154,5.54168176651001
155,2.7978732585906982
156,2.5048131942749023
157,5.176925182342529
158,3.321289539337158
