gsm8k_num,perplexity,chunks
1,9.391738891601562,1
2,20.021760940551758,1
3,2.5419609546661377,1
4,9.524388313293457,1
5,5.8524885177612305,1
6,4.434475898742676,1
7,4.417007923126221,1
8,4.235047340393066,1
9,4.14134407043457,1
10,3.839968681335449,1
11,3.091240882873535,1
12,3.3891749382019043,1
13,4.54221773147583,1
14,5.796133995056152,1
15,3.292318344116211,1
16,4.640605926513672,1
17,4.634078025817871,1
18,2.774639129638672,1
19,5.027187824249268,1
20,3.5576393604278564,1
21,4.186601161956787,1
22,5.636006832122803,1
23,4.917231559753418,1
24,7.857096195220947,1
25,6.213330268859863,1
26,3.929811954498291,1
27,4.769341945648193,1
28,5.430750846862793,1
29,6.100213527679443,1
30,6.096482276916504,1
31,5.486526966094971,1
32,4.181943416595459,1
33,10.366571426391602,1
34,6.592777729034424,1
35,4.9642839431762695,1
36,5.285350322723389,1
37,4.483042240142822,1
38,4.257406711578369,1
39,5.396284103393555,1
40,2.9310011863708496,1
41,6.222553253173828,1
42,7.197838306427002,1
43,7.073561191558838,1
44,3.7543797492980957,1
45,3.5479397773742676,1
46,5.709059715270996,1
47,5.729109764099121,1
48,3.796546220779419,1
49,6.542490005493164,1
50,3.6924824714660645,1
51,4.659531116485596,1
52,7.406137943267822,1
53,5.29537296295166,1
54,3.9877593517303467,1
55,8.505672454833984,1
56,6.6585822105407715,1
57,7.483039379119873,1
58,5.227193355560303,1
59,5.380101680755615,1
60,5.965293884277344,1
61,5.223301410675049,1
62,5.487273216247559,1
63,5.415717124938965,1
64,3.8612465858459473,1
65,4.733633995056152,1
66,6.386557102203369,1
67,3.7656736373901367,1
68,3.9867734909057617,1
69,4.340511322021484,1
70,6.4222846031188965,1
71,3.9196298122406006,1
72,8.650456428527832,1
73,5.282339572906494,1
74,4.51274299621582,1
75,2.7708210945129395,1
76,3.370479106903076,1
77,2.758633613586426,1
78,4.349419116973877,1
79,4.241213798522949,1
80,8.086416244506836,1
81,3.872107744216919,1
82,5.3516764640808105,1
83,7.7541046142578125,1
84,5.194502830505371,1
85,5.189316272735596,1
86,5.495048522949219,1
87,3.5210378170013428,1
88,4.547555446624756,1
89,3.903515577316284,1
90,10.495591163635254,1
91,3.7283694744110107,1
92,5.411666393280029,1
93,5.230790138244629,1
94,4.093113422393799,1
95,4.089253902435303,1
96,3.4804248809814453,1
97,8.603852272033691,1
98,6.017320156097412,1
99,6.275929927825928,1
100,5.801393508911133,1
101,3.312727928161621,1
102,6.338582992553711,1
103,5.082794666290283,1
104,5.422356605529785,1
105,3.516995906829834,1
106,9.234052658081055,1
107,4.336126327514648,1
108,3.5693297386169434,1
109,5.820468902587891,1
110,4.778148174285889,1
111,5.575503349304199,1
112,4.359989166259766,1
113,7.176273822784424,1
114,9.11545181274414,1
115,4.674892425537109,1
116,4.336071491241455,1
117,8.609794616699219,1
118,9.931984901428223,1
119,8.557761192321777,1
120,2.983798027038574,1
121,6.111845970153809,1
122,5.687878131866455,1
123,4.226017951965332,1
124,3.6280245780944824,1
125,7.499122619628906,1
126,6.465060710906982,1
127,9.356663703918457,1
128,6.425295352935791,1
129,4.233312129974365,1
130,4.016374588012695,1
131,4.628401756286621,1
132,5.749268531799316,1
133,4.642967700958252,1
134,5.078909873962402,1
135,10.936763763427734,1
136,8.227397918701172,1
137,13.295050621032715,1
138,3.126952886581421,1
139,3.686493396759033,1
140,6.737983703613281,1
141,4.814830780029297,1
142,7.227152347564697,1
143,6.314446926116943,1
144,5.918421745300293,1
145,4.012545108795166,1
146,4.895432472229004,1
147,4.818777084350586,1
148,4.633659362792969,1
149,5.523022174835205,1
150,6.91844367980957,1
151,3.4151198863983154,1
152,5.5452117919921875,1
153,5.116435527801514,1
154,5.437690258026123,1
155,2.7742576599121094,1
156,2.435593366622925,1
157,5.055496692657471,1
158,3.318065643310547,1
159,5.453157424926758,1
160,8.32597541809082,1
161,5.770712852478027,1
162,3.343637466430664,1
163,4.139805793762207,1
164,6.554875373840332,1
165,6.653863430023193,1
166,5.763450622558594,1
167,8.904733657836914,1
168,4.443539619445801,1
169,10.389968872070312,1
170,4.700630187988281,1
171,3.518460750579834,1
172,3.3962066173553467,1
173,4.904190540313721,1
174,2.859992027282715,1
175,4.79659366607666,1
176,5.522040367126465,1
177,6.253345966339111,1
178,3.300346851348877,1
179,4.072765350341797,1
180,6.621949195861816,1
181,7.390097141265869,1
182,8.719169616699219,1
183,5.616240978240967,1
184,3.3968236446380615,1
185,4.19951868057251,1
186,6.3377299308776855,1
187,4.982331275939941,1
188,5.6458964347839355,1
189,4.653173446655273,1
190,4.620726585388184,1
191,8.007808685302734,1
192,7.653965950012207,1
193,4.231385231018066,1
194,4.517586708068848,1
195,8.671086311340332,1
196,5.160783290863037,1
197,5.599444389343262,1
198,4.622926712036133,1
199,4.007246017456055,1
200,3.329679250717163,1
201,3.935457706451416,1
202,3.7288589477539062,1
203,4.418188571929932,1
204,5.351534366607666,1
205,3.5893940925598145,1
206,4.3390727043151855,1
207,3.8391289710998535,1
208,3.3692779541015625,1
209,4.687969207763672,1
210,4.071421146392822,1
211,3.775383472442627,1
212,3.8385567665100098,1
213,3.7887423038482666,1
214,3.6748571395874023,1
215,3.8741354942321777,1
216,4.678984642028809,1
217,3.7763609886169434,1
218,5.635031223297119,1
219,3.189211130142212,1
220,4.500784873962402,1
221,3.931807518005371,1
222,4.150826454162598,1
223,7.416989326477051,1
224,5.005061149597168,1
225,4.6120500564575195,1
226,8.117511749267578,1
227,3.8788232803344727,1
228,3.995082139968872,1
229,6.884392738342285,1
230,4.092286109924316,1
231,2.751495838165283,1
232,5.315188884735107,1
233,9.8289794921875,1
234,4.043144226074219,1
235,7.871528148651123,1
236,6.868302345275879,1
237,7.1835198402404785,1
238,13.05133056640625,1
239,4.0182271003723145,1
240,4.169318675994873,1
241,4.921182155609131,1
242,12.380315780639648,1
243,5.276121139526367,1
244,5.649746417999268,1
245,7.349562644958496,1
246,3.6725242137908936,1
247,4.494731426239014,1
248,5.781553268432617,1
249,5.934057235717773,1
250,3.23425555229187,1
251,3.6810691356658936,1
252,6.831399440765381,1
253,5.0504984855651855,1
254,8.317950248718262,1
255,5.419154167175293,1
256,4.876036643981934,1
257,2.548901319503784,1
258,3.3290772438049316,1
259,6.2404866218566895,1
260,3.7176096439361572,1
261,4.353569030761719,1
262,4.172844409942627,1
263,5.327157020568848,1
264,8.940845489501953,1
265,3.8579494953155518,1
266,2.9195618629455566,1
267,2.712707757949829,1
268,4.919490337371826,1
269,3.536717653274536,1
270,8.776683807373047,1
271,3.447374105453491,1
272,6.74330472946167,1
273,7.543837070465088,1
274,3.117121458053589,1
275,4.348866939544678,1
276,3.2602548599243164,1
277,3.0286107063293457,1
278,3.1299312114715576,1
279,6.681301116943359,1
280,3.925692319869995,1
281,4.739701271057129,1
282,3.088857650756836,1
283,5.41304874420166,1
284,5.380320072174072,1
285,3.234018564224243,1
286,5.288288116455078,1
287,3.3410308361053467,1
288,3.405587673187256,1
289,4.820871829986572,1
290,4.563953876495361,1
291,8.14102554321289,1
292,4.048096656799316,1
293,5.317906856536865,1
294,4.862314224243164,1
295,5.919162273406982,1
296,3.0723018646240234,1
297,4.2562055587768555,1
298,4.720459461212158,1
299,5.791700839996338,1
300,3.438593864440918,1
301,5.998883247375488,1
302,9.69584846496582,1
303,9.412402153015137,1
304,4.889085292816162,1
305,3.882091760635376,1
306,12.021709442138672,1
307,3.415677309036255,1
308,4.488990306854248,1
309,4.216067790985107,1
310,5.799860954284668,1
311,3.759516716003418,1
312,4.4782280921936035,1
313,7.028954982757568,1
314,4.272877216339111,1
315,5.380887031555176,1
316,3.5986571311950684,1
317,4.963920593261719,1
318,7.4810004234313965,1
319,5.074934959411621,1
320,6.195892333984375,1
